theme,url,img,lines,author
PERSISTENCE,/inspirational-quotes/8300-failure-cannot-cope-with-persistence,https://assets.passiton.com/quotes/quote_artwork/8300/medium/20220131_monday_quote.jpg?1643401488,Failure cannot cope with persistence.,<Author:0x00007ff79078c910>
INSPIRATION,/inspirational-quotes/8298-though-no-one-can-go-back-and-make-a-brand-new,https://assets.passiton.com/quotes/quote_artwork/8298/medium/20210128_friday_quote.jpg?1642807064,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.",<Author:0x00007ff7907bad60>
INSPIRATION,/inspirational-quotes/8297-a-highly-developed-values-system-is-like-a,https://assets.passiton.com/quotes/quote_artwork/8297/medium/20210127_thursday_quote.jpg?1642807024,A highly developed values system is like a compass. It serves as a guide to point you in the right direction when you are lost.,<Author:0x00007ff79084ece0>
INSPIRATION,/inspirational-quotes/7066-just-don-t-give-up-trying-what-you-really-want,https://assets.passiton.com/quotes/quote_artwork/7066/medium/20210126_wednesday_quote.jpg?1642807000,"Just don’t give up trying what you really want to do. Where there is love and inspiration, I don’t think you can go wrong.",<Author:0x00007ff7908c3748>
INSPIRATION,/inspirational-quotes/8296-when-we-strive-to-become-better-than-we-are,https://assets.passiton.com/quotes/quote_artwork/8296/medium/20210125_tuesday_quote.jpg?1642806976,"When we strive to become better than we are, everything around us becomes better, too.",<Author:0x00007ff7908ec0d0>
INSPIRATION,/inspirational-quotes/8299-the-most-important-thing-is-to-try-and-inspire,https://assets.passiton.com/quotes/quote_artwork/8299/medium/20210124_monday_quote.jpg?1642807233, The most important thing is to try and inspire people so that they can be great in whatever they want to do.,<Author:0x00007ff790918068>
OVERCOMING,/inspirational-quotes/6828-bad-things-do-happen-how-i-respond-to-them,https://assets.passiton.com/quotes/quote_artwork/6828/medium/20220121_friday_quote.jpg?1642025489,Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness... or I can choose to rise from the pain and treasure the most precious gift I have—life itself.,<Author:0x00007ff79095fee0>
OVERCOMING,/inspirational-quotes/8294-show-me-someone-who-has-done-something,https://assets.passiton.com/quotes/quote_artwork/8294/medium/20220120_thursday_quote.jpg?1642025461,"Show me someone who has done something worthwhile, and I’ll show you someone who has overcome adversity.",<Author:0x00007ff79098adc0>
OVERCOMING,/inspirational-quotes/6137-its-not-the-load-that-breaks-you-down-its-the,https://assets.passiton.com/quotes/quote_artwork/6137/medium/20220119_wednesday_quote.jpg?1642021501,"It's not the load that breaks you down, it's the way you carry it.",<Author:0x00007ff7909cd9b8>
OVERCOMING,/inspirational-quotes/6805-getting-over-a-painful-experience-is-much-like,https://assets.passiton.com/quotes/quote_artwork/6805/medium/20220118_tuesday_quote.jpg?1642021466,Getting over a painful experience is much like crossing monkey bars. You have to let go at some point in order to move forward.,<Author:0x00007ff790a04468>
OVERCOMING,/inspirational-quotes/8293-if-you-cant-fly-then-run-if-you-cant-run-then,https://assets.passiton.com/quotes/quote_artwork/8293/medium/20220117_monday_quote.jpg?1642021433,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",<Author:0x00007ff790a42e70>
CREATIVITY,/inspirational-quotes/5577-the-creative-is-the-place-where-no-one-else-has,https://assets.passiton.com/quotes/quote_artwork/5577/medium/20220114_friday_quote.jpg?1641588954,The creative is the place where no one else has ever been. You have to leave the city of your comfort and go into the wilderness of your intuition.,<Author:0x00007ff790a7a870>
CREATIVITY,/inspirational-quotes/7345-creativity-is-allowing-yourself-to-make,https://assets.passiton.com/quotes/quote_artwork/7345/medium/20220113_thursday_quote.jpg?1641588918,Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.,<Author:0x00007ff790aca7a8>
CREATIVITY,/inspirational-quotes/7487-creativity-requires-the-courage-to-let-go-of,https://assets.passiton.com/quotes/quote_artwork/7487/medium/20220112_wednesday_quote.jpg?1641588894,Creativity requires the courage to let go of certainties.,<Author:0x00007ff790b01488>
HUMILITY,/inspirational-quotes/8295-i-am-the-me-i-choose-to-be,https://assets.passiton.com/quotes/quote_artwork/8295/medium/20220111_tuesday_quote.jpg?1641858930,I am the me I choose to be.,<Author:0x00007ff790b38bb8>
CREATIVITY,/inspirational-quotes/7809-creative-people-do-not-see-things-for-what-they,https://assets.passiton.com/quotes/quote_artwork/7809/medium/20220110_monday_quote.jpg?1641588841,Creative people do not see things for what they are; they see them for what they can be.,<Author:0x00007ff790b7c9f8>
HOPE,/inspirational-quotes/8291-there-was-never-a-night-or-a-problem-that-could,https://assets.passiton.com/quotes/quote_artwork/8291/medium/20220107_friday_quote.jpg?1640117070,There was never a night or a problem that could defeat sunrise or hope.,<Author:0x00007ff790bc3100>
HOPE,/inspirational-quotes/3560-hope-is-a-state-of-mind-not-of-the-world,https://assets.passiton.com/quotes/quote_artwork/3560/medium/20220106_thursday_quote.jpg?1640117035,"Hope is a state of mind, not of the world. Hope, in this deep and powerful sense, is not the same as joy that things are going well…, but rather an ability to work for something because it is good.",<Author:0x00007ff790c077b0>
HOPE,/inspirational-quotes/6827-just-as-one-cannot-live-without-dreams-one,https://assets.passiton.com/quotes/quote_artwork/6827/medium/20220105_wednesday_quote.jpg?1640117008,"Just as one cannot live without dreams, one cannot live without hope. If dreams reflect the past, hope summons the future.",<Author:0x00007ff790c4a2b8>
HOPE,/inspirational-quotes/8290-we-have-always-held-to-the-hope-the-belief,https://assets.passiton.com/quotes/quote_artwork/8290/medium/20220104_tuesday_quote.jpg?1640116962,"We have always held to the hope, the belief, the conviction that there is a better life, a better world, beyond the horizon.",<Author:0x00007ff790c8ce10>
HOPE,/inspirational-quotes/7457-hope-smiles-from-the-threshold-of-the-year-to,https://assets.passiton.com/quotes/quote_artwork/7457/medium/20220103_monday_quote.jpg?1640116927,"Hope smiles from the threshold of the year to come, whispering 'it will be happier'...",<Author:0x00007ff790cd2c30>
FAMILY,/inspirational-quotes/4770-what-greater-thing-is-there-for-human-souls,https://assets.passiton.com/quotes/quote_artwork/4770/medium/20211231_friday_quote.jpg?1640016040,What greater thing is there for human souls than to feel that they are joined for life - to be with each other in silent unspeakable memories.,<Author:0x00007ff790d08790>
FAMILY,/inspirational-quotes/8289-it-didn-t-matter-how-big-our-house-was-it,https://assets.passiton.com/quotes/quote_artwork/8289/medium/20211230_thursday_quote.jpg?1640016001,It didn’t matter how big our house was; it mattered that there was love in it.,<Author:0x00007ff790d40168>
FAMILY,/inspirational-quotes/7182-the-bond-that-links-your-true-family-is-not-one,https://assets.passiton.com/quotes/quote_artwork/7182/medium/20211229_wednesday_quote.jpg?1640015962,"The bond that links your true family is not one of blood, but of respect and joy in each other's life. Rarely do members of one family grow up under the same roof.",<Author:0x00007ff790d7e9b8>
FAMILY,/inspirational-quotes/7183-having-somewhere-to-go-is-home-having-someone,https://assets.passiton.com/quotes/quote_artwork/7183/medium/20211228_tuesday_quote.jpg?1640015915,"Having somewhere to go is home, having someone to love is family, having both is blessing.",<Author:0x00007ff790dc3c70>
KINDNESS,/inspirational-quotes/5990-do-your-little-bit-of-good-where-you-are-its,https://assets.passiton.com/quotes/quote_artwork/5990/medium/20211227_monday_quote.jpg?1640575891,Do your little bit of good where you are; its those little bits of good put together that overwhelm the world.,<Author:0x00007ff790df7ae8>
CHEER,/inspirational-quotes/6913-this-is-my-wish-for-you-peace-of-mind,https://assets.passiton.com/quotes/quote_artwork/6913/medium/20211224_friday_quote.jpg?1639774097,"This is my wish for you: peace of mind, prosperity through the year, happiness that multiplies, health for you and yours, fun around every corner, energy to chase your dreams, joy to fill your holidays!",<Author:0x00007ff790e32508>
CHEER,/inspirational-quotes/8288-laughing-cheerfulness-throws-the-light-of-day,https://assets.passiton.com/quotes/quote_artwork/8288/medium/20211223_thursday_quote.jpg?1639774056,Laughing cheerfulness throws the light of day on all the paths of life.,<Author:0x00007ff790e760c8>
CHEER,/inspirational-quotes/7847-after-every-storm-the-sun-will-smile-for-every,https://assets.passiton.com/quotes/quote_artwork/7847/medium/20211222_wednesday_quote.jpg?1639774026,"After every storm the sun will smile; for every problem there is a solution, and the soul's indefeasible duty is to be of good cheer.",<Author:0x00007ff790eab200>
CHEER,/inspirational-quotes/7848-i-say-to-myself-that-i-shall-try-to-make-my,https://assets.passiton.com/quotes/quote_artwork/7848/medium/20211221_tuesday_quote.jpg?1639773995,"I say to myself that I shall try to make my life like an open fireplace, so that people may be warmed and cheered by it and so go out themselves to warm and cheer.",<Author:0x00007ff790f13cb0>
CHEER,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20211220_monday_quote.jpg?1639773966,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007ff790f69b60>
GIVING BACK,/inspirational-quotes/8287-i-have-found-that-among-its-other-benefits,https://assets.passiton.com/quotes/quote_artwork/8287/medium/20211217_friday_quote.jpg?1639166550,"I have found that among its other benefits, giving liberates the soul of the giver.",<Author:0x00007ff790fba0b0>
